,id,width,height,class,x,y,w,h
0,0,4056,3040,0,0.9440335305719921,0.6868421052631579,0.017011834319526627,0.03125
1,0,4056,3040,0,0.763560157790927,0.8164473684210526,0.020710059171597635,0.030921052631578946
2,0,4056,3040,0,0.8175542406311637,0.7177631578947369,0.016518737672583828,0.024342105263157894
3,0,4056,3040,0,0.38510848126232744,0.23125,0.019230769230769232,0.02236842105263158
4,0,4056,3040,0,0.1254930966469428,0.8621710526315789,0.021696252465483234,0.020723684210526314
5,0,4056,3040,0,0.8949704142011834,0.16940789473684212,0.021696252465483234,0.02763157894736842
6,1,4056,3040,0,0.4361439842209073,0.15197368421052632,0.015039447731755425,0.03782894736842105
7,1,4056,3040,0,0.4620315581854043,0.7236842105263158,0.016272189349112426,0.023355263157894737
8,1,4056,3040,0,0.3994082840236686,0.6911184210526315,0.011587771203155819,0.021710526315789475
9,1,4056,3040,0,0.32519723865877714,0.743421052631579,0.021203155818540435,0.019407894736842107
10,2,4000,3000,0,0.49375,0.5706666666666667,0.03275,0.024
11,3,4000,3000,0,0.47325,0.4796666666666667,0.006,0.02
12,3,4000,3000,0,0.4545,0.5016666666666667,0.0085,0.013
13,4,4000,2250,0,0.41975,0.7008888888888889,0.018,0.03244444444444444
14,5,4000,3000,0,0.60175,0.696,0.01375,0.012333333333333333
15,5,4000,3000,0,0.51775,0.673,0.01475,0.015
16,5,4000,3000,0,0.4195,0.9696666666666667,0.013,0.021333333333333333
17,5,4000,3000,0,0.55775,0.691,0.012,0.013
18,5,4000,3000,0,0.38225,0.6263333333333333,0.01225,0.024333333333333332
19,5,4000,3000,0,0.493,0.6846666666666666,0.01,0.015333333333333332
20,5,4000,3000,0,0.46375,0.686,0.013,0.015333333333333332
21,5,4000,3000,0,0.426,0.6706666666666666,0.01375,0.014333333333333333
22,6,4000,3000,0,0.5425,0.704,0.01525,0.012666666666666666
23,6,4000,3000,0,0.41875,0.97,0.01375,0.021333333333333333
24,6,4000,3000,0,0.42225,0.691,0.014,0.019
25,6,4000,3000,0,0.46325,0.7033333333333334,0.01475,0.015333333333333332
26,6,4000,3000,0,0.49075,0.7,0.01025,0.010333333333333333
27,6,4000,3000,0,0.3805,0.6503333333333333,0.013,0.028
28,6,4000,3000,0,0.59825,0.7133333333333334,0.0185,0.017333333333333333
29,6,4000,3000,0,0.518,0.693,0.0145,0.018666666666666668
30,7,4000,3000,0,0.30925,0.07866666666666666,0.021,0.019666666666666666
31,7,4000,3000,0,0.0245,0.25233333333333335,0.0285,0.015666666666666666
32,8,4000,2250,0,0.61425,0.42,0.0125,0.03955555555555555
33,9,4056,3040,0,0.3952169625246548,0.7861842105263158,0.020710059171597635,0.034210526315789476
34,9,4056,3040,0,0.4452662721893491,0.6924342105263158,0.010601577909270217,0.028618421052631578
35,9,4056,3040,0,0.5764299802761341,0.6657894736842105,0.01725838264299803,0.038157894736842106
36,9,4056,3040,0,0.5081360946745562,0.14539473684210527,0.01873767258382643,0.03355263157894737
37,9,4056,3040,0,0.013560157790927022,0.22072368421052632,0.02687376725838264,0.02006578947368421
38,10,4000,3000,0,0.444,0.609,0.0105,0.011666666666666667
39,10,4000,3000,0,0.487,0.6123333333333333,0.01675,0.014333333333333333
40,10,4000,3000,0,0.54425,0.621,0.00725,0.012333333333333333
41,10,4000,3000,0,0.56425,0.632,0.01325,0.015
42,10,4000,3000,0,0.362,0.639,0.01525,0.017333333333333333
43,10,4000,3000,0,0.36675,0.603,0.0135,0.014
44,10,4000,3000,0,0.42375,0.9816666666666667,0.01325,0.022333333333333334
45,10,4000,3000,0,0.40525,0.5906666666666667,0.01325,0.013666666666666667
46,11,4000,3000,0,0.53,0.19766666666666666,0.027,0.020666666666666667
47,12,4000,3000,0,0.28525,0.8316666666666667,0.0165,0.022
48,12,4000,3000,0,0.3915,0.31933333333333336,0.011,0.018666666666666668
49,13,4056,3040,0,0.8976824457593688,0.9171052631578948,0.024161735700197237,0.027960526315789474
50,13,4056,3040,0,0.34935897435897434,0.9486842105263158,0.027366863905325445,0.018421052631578946
51,13,4056,3040,0,0.4161735700197239,0.5269736842105263,0.014546351084812623,0.05197368421052632
52,13,4056,3040,0,0.7864891518737672,0.6644736842105263,0.026134122287968443,0.022697368421052633
53,14,4000,2250,0,0.099,0.12977777777777777,0.0175,0.019555555555555555
54,15,4000,3000,0,0.456,0.8966666666666666,0.0135,0.025666666666666667
55,15,4000,3000,0,0.41575,0.9563333333333334,0.0185,0.029666666666666668
56,15,4000,3000,0,0.42125,0.9076666666666666,0.01675,0.028666666666666667
57,16,4000,3000,0,0.245,0.37266666666666665,0.02425,0.019
58,16,4000,3000,0,0.11175,0.9756666666666667,0.0135,0.035
59,17,4056,3040,0,0.8587278106508875,0.17203947368421052,0.015285996055226824,0.038157894736842106
60,17,4056,3040,0,0.51232741617357,0.013486842105263158,0.02391518737672584,0.02631578947368421
61,17,4056,3040,0,0.11489151873767259,0.3203947368421053,0.027859960552268245,0.01875
62,17,4056,3040,0,0.488905325443787,0.9095394736842105,0.014299802761341223,0.03684210526315789
63,17,4056,3040,0,0.5465976331360947,0.8092105263157895,0.01849112426035503,0.022697368421052633
64,17,4056,3040,0,0.6799802761341223,0.7851973684210526,0.017504930966469427,0.03190789473684211
65,17,4056,3040,0,0.6171104536489151,0.24967105263157896,0.020710059171597635,0.030592105263157896
66,18,4056,3040,0,0.5473372781065089,0.6690789473684211,0.01257396449704142,0.015460526315789473
67,18,4056,3040,0,0.41272189349112426,0.8246710526315789,0.010848126232741617,0.012828947368421053
68,18,4056,3040,0,0.4425542406311637,0.925,0.008629191321499015,0.01875
69,18,4056,3040,0,0.42159763313609466,0.8671052631578947,0.011834319526627219,0.01381578947368421
70,18,4056,3040,0,0.40927021696252464,0.8588815789473684,0.011094674556213017,0.018421052631578946
71,18,4056,3040,0,0.5557199211045365,0.6789473684210526,0.008875739644970414,0.01611842105263158
72,18,4056,3040,0,0.5626232741617357,0.45526315789473687,0.01282051282051282,0.017105263157894738
73,19,4000,3000,0,0.54025,0.6266666666666667,0.01325,0.016
74,19,4000,3000,0,0.3455,0.5943333333333334,0.013,0.023666666666666666
75,19,4000,3000,0,0.404,0.589,0.01325,0.021666666666666667
76,19,4000,3000,0,0.44875,0.5976666666666667,0.0135,0.014
77,19,4000,3000,0,0.489,0.612,0.012,0.016666666666666666
78,19,4000,3000,0,0.57225,0.629,0.013,0.017
79,19,4000,3000,0,0.304,0.5913333333333334,0.01175,0.015666666666666666
80,19,4000,3000,0,0.41775,0.9773333333333334,0.0125,0.018333333333333333
81,20,4000,3000,0,0.59375,0.6136666666666667,0.02475,0.016
82,20,4000,3000,0,0.57275,0.5933333333333334,0.009,0.019333333333333334
83,20,4000,3000,0,0.52925,0.606,0.02125,0.030333333333333334
84,21,4000,3000,0,0.684,0.4096666666666667,0.0145,0.015333333333333332
85,21,4000,3000,0,0.72075,0.484,0.0175,0.012
86,22,4000,3000,0,0.44375,0.891,0.01725,0.008666666666666666
87,22,4000,3000,0,0.4375,0.9266666666666666,0.016,0.035666666666666666
88,22,4000,3000,0,0.415,0.839,0.02725,0.021333333333333333
89,24,4000,3000,0,0.36325,0.792,0.0145,0.012333333333333333
90,24,4000,3000,0,0.37925,0.2733333333333333,0.015,0.02266666666666667
91,25,4000,3000,0,0.48475,0.3006666666666667,0.013,0.019333333333333334
92,25,4000,3000,0,0.40775,0.775,0.012,0.013666666666666667
93,26,4000,2250,0,0.10575,0.4484444444444444,0.01125,0.012444444444444444
94,27,4000,3000,0,0.3615,0.584,0.0135,0.03266666666666666
95,27,4000,3000,0,0.42225,0.5886666666666667,0.0125,0.035333333333333335
96,27,4000,3000,0,0.55225,0.6283333333333333,0.01125,0.019333333333333334
97,27,4000,3000,0,0.42225,0.9866666666666667,0.0135,0.024333333333333332
98,27,4000,3000,0,0.5825,0.6346666666666667,0.011,0.032
99,27,4000,3000,0,0.45725,0.609,0.011,0.023666666666666666
100,27,4000,3000,0,0.5015,0.619,0.0165,0.033
101,27,4000,3000,0,0.321,0.5873333333333334,0.013,0.03133333333333333
102,28,4000,3000,0,0.74575,0.6143333333333333,0.04175,0.016
103,28,4000,3000,0,0.67825,0.178,0.03625,0.023666666666666666
104,29,4056,3040,0,0.5140532544378699,0.8822368421052632,0.013313609467455622,0.024342105263157894
105,29,4056,3040,0,0.3979289940828402,0.6111842105263158,0.01725838264299803,0.02236842105263158
106,29,4056,3040,0,0.7642998027613412,0.7730263157894737,0.013560157790927022,0.019407894736842107
107,30,4000,3000,0,0.40225,0.12666666666666668,0.04025,0.028
108,30,4000,3000,0,0.51925,0.558,0.03775,0.029666666666666668
109,31,4056,3040,0,0.9114891518737672,0.8832236842105263,0.023668639053254437,0.03190789473684211
110,31,4056,3040,0,0.4223372781065089,0.4513157894736842,0.015532544378698224,0.019736842105263157
111,31,4056,3040,0,0.7956114398422091,0.6101973684210527,0.022682445759368838,0.021710526315789475
112,33,4056,3040,0,0.5313116370808678,0.5460526315789473,0.014053254437869823,0.039473684210526314
113,33,4056,3040,0,0.46178500986193294,0.9789473684210527,0.03328402366863906,0.016776315789473684
114,34,4000,3000,0,0.10275,0.18833333333333332,0.0115,0.037
115,35,4056,3040,0,0.7477810650887574,0.39276315789473687,0.014546351084812623,0.031578947368421054
116,35,4056,3040,0,0.6928007889546351,0.48947368421052634,0.017011834319526627,0.04736842105263158
117,35,4056,3040,0,0.875,0.36644736842105263,0.017504930966469427,0.03881578947368421
118,35,4056,3040,0,0.08431952662721894,0.5736842105263158,0.02440828402366864,0.017763157894736842
119,36,4000,3000,0,0.4,0.8796666666666667,0.015,0.022
120,36,4000,3000,0,0.44225,0.8583333333333333,0.014,0.017
121,36,4000,3000,0,0.51875,0.9206666666666666,0.0155,0.02266666666666667
122,36,4000,3000,0,0.47025,0.8756666666666667,0.01125,0.016666666666666666
123,36,4000,3000,0,0.368,0.898,0.013,0.024
124,36,4000,3000,0,0.42275,0.971,0.013,0.021666666666666667
125,36,4000,3000,0,0.594,0.909,0.0125,0.022333333333333334
126,36,4000,3000,0,0.53675,0.9076666666666666,0.009,0.014333333333333333
127,37,4000,3000,0,0.549,0.4063333333333333,0.01725,0.039
128,37,4000,3000,0,0.51,0.333,0.0205,0.026
129,37,4000,3000,0,0.51675,0.3283333333333333,0.0095,0.024333333333333332
130,38,4000,3000,0,0.402,0.5826666666666667,0.0185,0.033666666666666664
131,38,4000,3000,0,0.419,0.978,0.01275,0.020666666666666667
132,38,4000,3000,0,0.48875,0.613,0.01325,0.01633333333333333
133,38,4000,3000,0,0.449,0.6083333333333333,0.01425,0.034666666666666665
134,38,4000,3000,0,0.30725,0.5893333333333334,0.012,0.038
135,38,4000,3000,0,0.34725,0.592,0.0175,0.02
136,38,4000,3000,0,0.543,0.6276666666666667,0.01225,0.024666666666666667
137,38,4000,3000,0,0.57125,0.6273333333333333,0.016,0.016
138,39,4000,2250,0,0.118,0.8471111111111111,0.022,0.029777777777777778
139,40,4000,3000,0,0.545,0.6196666666666667,0.00825,0.010666666666666666
140,40,4000,3000,0,0.56275,0.6333333333333333,0.0105,0.01633333333333333
141,40,4000,3000,0,0.4855,0.6133333333333333,0.01575,0.018333333333333333
142,40,4000,3000,0,0.44775,0.595,0.00925,0.011666666666666667
